country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,year
France,"This ripe, fruity wine is developing a fine balance between fruit and structure. Its black currant flavors are bright, juicy and crisp, sustained by a core of dryness and delicious acidity. It will benefit from another year of age, so wait until late 2018 before drinking.",,90,28.0,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château Larrivaux 2012  Haut-Médoc,Bordeaux-style Red Blend,Château Larrivaux,2012.0
US,"Aromas of tire rubber mix with herbs, red fruit, plum and allspice. Candied red fruit flavors are plump in feel, trailing on the finish.",Les Collines Vineyard,87,24.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Angel Vine 2012 Les Collines Vineyard Zinfandel (Walla Walla Valley (WA)),Zinfandel,Angel Vine,2012.0
Italy,"Aromas of horse stall and barnyard precede a funky palate that displays bitter, charred sensations but no fruit richness.",Carolina Marengo,82,30.0,Sicily & Sardinia,Sicilia,,Kerin O’Keefe,@kerinokeefe,Feudi del Pisciotto 2012 Carolina Marengo Grillo (Sicilia),Grillo,Feudi del Pisciotto,2012.0
Argentina,"Year by year, Salentein's top wines are improving. Primum is truly a fine wine, right up there with the country's best. It's harmonious and inviting, with cola, mineral, floral notes and honest black fruit aromas and flavors. The feel is secure and tight but also well balanced, with a touch of molasses but mostly just deep, driving black fruit. Muscular, intense and long on the finish. Drink now.",Primum,92,64.0,Mendoza Province,Uco Valley,,Michael Schachner,@wineschach,Salentein 2004 Primum Malbec (Uco Valley),Malbec,Salentein,2004.0
France,"Heady and concentrated notes of blackberry, cherry and plum are graced with additional glimmers of lavender and thyme. The layered fruit continues in the velvety mouth, and licorice stick, clove and nutmeg spice accents carry well into the finish. A nice expression with great balance; drink now–2014.",Vieilles Vignes,90,20.0,Languedoc-Roussillon,Faugères,,Lauren Buzzeo,@laurbuzz,Château de la Liquiere 2008 Vieilles Vignes Red (Faugères),Rhône-style Red Blend,Château de la Liquiere,2008.0
Chile,"Bright but basic plum, spice and leather aromas are uncomplicated. This feels grabby and rugged, with chewy tannins. Leafy red-fruit flavors offer a jammy side note, while this finishes with dry, scouring tannins.",Expedicion,86,12.0,Maule Valley,,,Michael Schachner,@wineschach,Finca Patagonia 2015 Expedicion Syrah (Maule Valley),Syrah,Finca Patagonia,2015.0
Spain,"Pretty to sniff, with aromas of lemon, fresh white fruits and minerals. Feels crisp, chiseled and racy, with blazing acidity propelling green apple, lime, green melon and saline flavors. Long on the finish. Drink now.",Pazo Barrantes,89,19.0,Galicia,Rías Baixas,,Michael Schachner,@wineschach,Pazo de Barrantes 2010 Pazo Barrantes Albariño (Rías Baixas),Albariño,Pazo de Barrantes,2010.0
France,"This wine starts off a bit tarry or rubbery, but with airing that dissipates to reveal a dry, savory, complex rosé. It's a blend of Syrah, Grenache and Mourvèdre that builds in layers of texture from chalky to silky on the finish.",Cuvée Gladiateur,88,,Rhône Valley,Costières de Nîmes,,Joe Czerwinski,@JoeCz,Domaine du Vistre 2013 Cuvée Gladiateur Rosé (Costières de Nîmes),Rosé,Domaine du Vistre,2013.0
Uruguay,"Bouza continues to lead the Uruguayan charge via wines like this Tannat, which is purple in color and concentrated on the nose, with blackberry pie and raisin aromas. A stout, full-bodied palate is chewy and oaky, while prune, blackberry, brine, char and toast flavors finish dark and spicy, with a raisiny note. Drink through 2017.",Reserva,88,19.0,Montevideo,,,Michael Schachner,@wineschach,Bouza 2013 Reserva Tannat (Montevideo),Tannat,Bouza,2013.0
US,"From the producer's estate vineyard on the Vaca Mountain range, this wine offers soft, generous tannin around a juicy core of cassis, dried currant, leather and cigar. Full bodied and robustly crafted, it benefits from a balance of bright acidity. It will be enjoyed further with age; drink now through 2023.",Cloudy's Vineyard,93,125.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Janzen 2013 Cloudy's Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Janzen,2013.0
US,"Sugary and thin, this has a light mix of citrus flavors—lemon and lime—and a hint of pineapple. It's a pleasant wine, but not up to previous efforts from Chateau Bianca.",,86,15.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Château Bianca 2012 Riesling (Willamette Valley),Riesling,Château Bianca,2012.0
Italy,"Here's a savory blend of Cabernet Sauvignon, Syrah and Merlot offering aromas of blackberry, underbrush and baking spice. The smooth, soft palate delivers juicy black cherry, licorice and ground pepper alongside round tannins. Drink through 2018.",Poggio ai Ginepri,89,20.0,Tuscany,Bolgheri,,Kerin O’Keefe,@kerinokeefe,Tenuta Argentiera 2012 Poggio ai Ginepri  (Bolgheri),Red Blend,Tenuta Argentiera,2012.0
US,"Deep black plum and black cherry flavors lend fruit concentration to this full-bodied and mouth-filling wine from a tiny hilltop appellation in Mendocino County. Its dark fruit flavors are quite ripe but not sweet, and a good wrapping of fine-grained tannins supports the richness very well.",Weir Vineyard Méthode Ancienne,92,85.0,California,Yorkville Highlands,North Coast,Jim Gordon,@gordone_cellars,Talisman 2014 Weir Vineyard Méthode Ancienne Pinot Noir (Yorkville Highlands),Pinot Noir,Talisman,2014.0
Australia,"Duval used to make Grange, so it is no surprise that his current luxury Shiraz is so successful. The 2008 Eligo oozes with oaky sweetness—vanilla, maple syrup and brown sugar notes—but balances that with potent cassis fruit and somehow ends on dry, savory notes of tobacco and spice. Drink now-2018, although it could surprise and go longer.",Eligo,94,100.0,South Australia,Barossa,,Joe Czerwinski,@JoeCz,John Duval Wines 2008 Eligo Shiraz (Barossa),Shiraz,John Duval Wines,2008.0
Portugal,"This is an off-dry wine, soft with a touch of tannin. It has some attractive acidity to keep it crisp as well as ripe red fruits. Drink now.",Bigode,85,9.0,Lisboa,,,Roger Voss,@vossroger,DFJ Vinhos 2015 Bigode Rosé (Lisboa),Rosé,DFJ Vinhos,2015.0
US,"A delicious Sauvignon Blanc, really fine. It showcases how well this cool little corner of Monterey County, with its stony soils, ripens white wines. Brisk in acidity and laden with minerals, it offers rich flavors of citrus fruits, white flowers, white currants and spices.",Coquina,90,32.0,California,Arroyo Grande Valley,Central Coast,,,Deep Sea 2009 Coquina Sauvignon Blanc (Arroyo Grande Valley),Sauvignon Blanc,Deep Sea,2009.0
France,"Attractively perfumed, this rich wine offers some dark tannins as well as forward black-currant fruits. The wood aging is still showing in the burnt toastiness of the wine, although this will diminish, leaving a broad wine packed with fruit. Drink from 2018.",La Bondue Premier Cru,92,44.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaine de Suremain 2014 La Bondue Premier Cru  (Mercurey),Pinot Noir,Domaine de Suremain,2014.0
US,"Aromas of mineral, burnt toast, talc and spice are lighter in style. Flavors show elegance and delicacy, with citrus notes lingering on the finish.",,89,28.0,Washington,Columbia Gorge (WA),Washington Other,Sean P. Sullivan,@wawinereport,Foundry Vineyards 2013 Chardonnay (Columbia Gorge (WA)),Chardonnay,Foundry Vineyards,2013.0
France,"This bottling is a blend comprised of wines from the 2011–2013 vintages, hence the nonvintage Vin de France labeling. Aromas of leather, clove and cinnamon come with a hint of adhesive bandage. The tannins are firm, so pair this with rare beef or lamb to bring forward the long, mouthwatering finish.",Plan Pégau,89,25.0,France Other,Vin de France,,Joe Czerwinski,@JoeCz,Laurence Féraud NV Plan Pégau Red (Vin de France),Rhône-style Red Blend,Laurence Féraud,
US,"This is an elaborate, oaky Chardonnay made in the popular style that has made California Chard such a success. It's rich in pineapple jam, apricot, buttered toast, vanilla and leesy flavors, and grows better as it warms in the glass.",Reserve,92,22.0,California,Sta. Rita Hills,Central Coast,,,Santa Barbara Winery 2007 Reserve Chardonnay (Sta. Rita Hills),Chardonnay,Santa Barbara Winery,2007.0
Portugal,"The name, Al-Ria, at the seaside, is a reflection of the importance of the beach culture to this region. The wine has a cool, minty character although its black fruits are ripe and full. It is rich with berry flavors, warm tannins and a dry firm aftertaste. Drink now although the wine will soften.",Al-Ria,88,15.0,Algarve,,,Roger Voss,@vossroger,Casa Santos Lima 2015 Al-Ria Red (Algarve),Portuguese Red,Casa Santos Lima,2015.0
US,"Concentrated fruit aromas, deep fruit flavors and a supportive, nicely astringent mouthfeel give this wine a great sense of structure and depth. It balances generosity with a bit of reserve in a traditional way that's very appealing. Best through 2020.",Complejo,91,100.0,California,Amador County,Sierra Foothills,Jim Gordon,@gordone_cellars,Borjón 2013 Complejo Barbera (Amador County),Barbera,Borjón,2013.0
Spain,"Jammy strawberry, crushed raspberry and mineral aromas define the bouquet. The palate is lifted by good acidity, while flavors of vanilla and tomato accent the raspberry and plum fruits. Fresh and subtle on the finish, this is a middleweight wine with a juicy disposition.",Reserva,88,20.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Burgo Viejo 2006 Reserva  (Rioja),Tempranillo Blend,Burgo Viejo,2006.0
New Zealand,"With only 56 cases imported, it may be a challenge to track down some of this full-bodied, slightly chunky Pinot Noir. The oak is a little too evident at this early stage, with toast and vanilla notes laying atop deeper notes of black cherries and spice, but give it 2–3 years and it shouldstart to sing.",,91,36.0,Central Otago,,,Joe Czerwinski,@JoeCz,Nevis Bluff 2006 Pinot Noir (Central Otago),Pinot Noir,Nevis Bluff,2006.0
US,"Elegant lilacs and other purple flowers meet with cola and licorice elements on the nose of this Mourvèdre-led blend, which also included 30% Syrah and 10% Grenache. The versatile palate is bright with tart cranberry and savory with vanilla-bean shavings.",Ardor,89,45.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Two Moons 2012 Ardor Red (Paso Robles),Rhône-style Red Blend,Two Moons,2012.0
US,"Scents of roses and cherries fill the nose, followed by raspberries and light milk chocolate in the mouth. There's a suggestion of wet stone also. The balance is good, although the wine skirts the edge of being a bit too thin on the finish.",Tualatin Estate,87,48.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley Vineyards 2011 Tualatin Estate Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards,2011.0
Argentina,"Floral red fruit aromas carry a hint of minerality and garrigue. The palate is lively, with good overall balance. Tastes of ripe red plum, raspberry and vanilla, while the finish is light in weight and quick, but satisfying.",,88,30.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Nice 2008 Malbec (Mendoza),Malbec,Nice,2008.0
Italy,"There's a sweet, succulent quality to this sparkler, expressing notes of lemon pie and honeydew. It's soft and creamy on the finish thanks to the rich and persistent quality of the effervescence.",Extra Dry,87,15.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Conte Collalto NV Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Conte Collalto,
Italy,"Franco Adami adds just 5% Chardonnay to his Brut Prosecco Superiore to give the wine a broader, bolder mouthfeel. The addition works nicely on the bouquet, lending a pretty tone of exotic fruit and a drying touch of flinty mineral.",Bosco di Gica Brut,88,18.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,Adami NV Bosco di Gica Brut  (Conegliano Valdobbiadene Prosecco Superiore),Glera,Adami,
Spain,"Earth, leather, herb and berry aromas set up a firm palate and gripping structure. The midpalate is focused on red fruit and light oak tones, while the finish is crisp, fresh and zesty.",Crianza,87,15.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Vaza 2011 Crianza  (Rioja),Tempranillo,Vaza,2011.0
US,"While this wine starts out a bit reductive, it subsequently explodes with aromas of dried herbs and generous amounts of black pepper. It's palate-coating and mesmerizing in feel, showing a dazzling sense of texture, lightness and richness.",Gamache Vineyard,93,35.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,àMaurice 2011 Gamache Vineyard Malbec (Columbia Valley (WA)),Malbec,àMaurice,2011.0
US,"Cherry, coffee and spicy cedar starts this masculine Cab from Penns Woods. On the palate, tobacco, red currant and pepper offer savory and sweet elements. The wine is balanced with good acidity and tannins. Pair with smoked ribs, hamburgers.",Reserve,85,46.0,Pennsylvania,Pennsylvania,,Susan Kostrzewa,@suskostrzewa,Penns Woods 2005 Reserve Cabernet Sauvignon (Pennsylvania),Cabernet Sauvignon,Penns Woods,2005.0
Portugal,"When planted south of its home in the northern Vinho Verde region, Alvarinho reveals a softer side. The acidity in this wine is balanced by the warm yellow fruits and open texture. Drink from 2018.",,88,22.0,Alentejano,,,Roger Voss,@vossroger,Herdade do Rocim 2016 Alvarinho (Alentejano),Alvarinho,Herdade do Rocim,2016.0
US,"The Hatcher delivers excellent value. Concentrated black cherry fruit runs on through a delicious, cherry cola finish. It's dusted with cinnamon and sassafras, and built for cellaring through 2024.",,91,48.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,William Hatcher 2012 Pinot Noir (Willamette Valley),Pinot Noir,William Hatcher,2012.0
Germany,"Glimpses of maturity are evident throughout this wine. Slightly briny, savory aromas on the nose open to layers of ripe black cherries and autumn leaves on the palate. It's rich and supple, fringed just faintly with tannins. Drink now.",,85,18.0,Rheinhessen,,,Anna Lee C. Iijima,,Leonard Kreusch 2011 Pinot Noir (Rheinhessen),Pinot Noir,Leonard Kreusch,2011.0
Spain,"Clean, fresh aromas of plum, raspberry and cherry give this wine a red-fruited personality. The mouthfeel supplies grip and mild tannic clamp, while flavors of plum and berry come with a touch of resiny oak. This crianza is textured and solid on the finish, but still fresh. Drink now through 2017.",Crianza,88,15.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Vaza 2009 Crianza  (Rioja),Tempranillo,Vaza,2009.0
France,"This really elegant Pinot Noir has good color as well as a perfumed, aromatic character. The fruit is ripe cherries, supported by a light tannic layer. Acidity gives this wine freshness as well as suggesting that it could age. Drink from 2017.",,92,40.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Roger et Didier Raimbault 2013  Sancerre,Pinot Noir,Roger et Didier Raimbault,2013.0
US,"Snappy black raspberry and fresh plum combine for an almost effervescent experience on the nose, which also benefits from smoked beef and carnation aromas. The palate is also very energetic with black-plum and orange-juice flavors, finishing with strong acidity. This will last for years, but needs at least another year to fully integrate.",Garys' Vineyard,91,65.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Bernardus 2015 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Bernardus,2015.0
US,"With its slightly sweet, jellied flavors of cherries, black raspberries, anise and vanilla bean, balanced with smooth tannins, this is a fun wine. It's easy to enjoy with almost anything that wants a medium-bodied red.",,84,9.0,California,California,California Other,,,Surf Point 2006 Merlot (California),Merlot,Surf Point,2006.0
Italy,"Classic aromas of fragrant blue flowers, ripe plum and sweet baking spice lead the nose. The polished palate delivers dried cherry, crushed raspberry, anise, clove and grilled herb alongside smooth tannins that make this already extremely accessible. Drink through 2018.",Vigneti di Campomaggio Riserva,89,37.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Castellani 2010 Vigneti di Campomaggio Riserva  (Chianti Classico),Sangiovese,Castellani,2010.0
Argentina,"On the nose, this smells of burnt oak, raisin and ultraripe cherry. The palate is compact and heavy, with chewy density. Baked, rooty flavors of cola, prune and chocolaty oak finish with thick, candied berry residuals.",,88,16.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Durigutti 2015 Malbec (Mendoza),Malbec,Durigutti,2015.0
US,"Crisp earth and seamless tannin give this wine a sultry softness around a subtle overlay of oak. Black cherry and leather meet in the middle, buoyed by a zest of acidity, medium weight and a lengthy finish.",,88,33.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Siduri 2013 Pinot Noir (Russian River Valley),Pinot Noir,Siduri,2013.0
US,"Intensely honeyed, this silky wine abounds with sweet tropical fruit and citrus tinged with savory hints of saffron and tea. The palate is rich and sweet with bright orange and tangerine flavors cut with searing acidity and a slightly astringent finish.",Late Harvest,86,18.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Heron Hill 2011 Late Harvest Vidal Blanc (Finger Lakes),Vidal Blanc,Heron Hill,2011.0
US,"Tastes a bit sweet and obvious now, with chocolate-covered cherry, blackberry jam, gingerbread cookie and smoke flavors. But it's pretty tannic, and well-balanced in acidity, so could develop bottle complexity down the road. Try after 2010.",Three Blocks,87,25.0,California,Russian River Valley,Sonoma,,,Sebastopol 2006 Three Blocks Syrah (Russian River Valley),Syrah,Sebastopol,2006.0
Croatia,"Juicy red plums and cherries, vanilla and smoke are pleasant on the nose and palate of this Bordeaux-style red from Istria, but gain freshness and verve from layers of bramble, menthol and fresh herbs. Full bodied with exceptionally integrated tannins that are soft and round, it's a big surprise at $13.",De Mar Cuvée Zenon,88,13.0,Istria,,,Anna Lee C. Iijima,,Istravino 2008 De Mar Cuvée Zenon Red (Istria),Bordeaux-style Red Blend,Istravino,2008.0
Armenia,"Deep salmon in color, this wine offers a bouquet of cantaloupe and nectarine. It is bright on entry, with full mouthfeel and flavors of pineapple, grapefruit and white peach that culminate in a bright citrus finish.",Estate Bottled,88,15.0,Armenia,,,Mike DeSimone,@worldwineguys,Van Ardi 2015 Estate Bottled Rosé (Armenia),Rosé,Van Ardi,2015.0
Portugal,"A powerful and concentrated blend of Touriga Nacional, Syrah and Aragonez. Solid blackberry flavors give the wine strength, while tannins and hot pepper bring out bitterness and spice. It's not a wine for the faint-hearted.",,85,17.0,Península de Setúbal,,,Roger Voss,@vossroger,Herdade da Gâmbia 2011 Red (Península de Setúbal),Portuguese Red,Herdade da Gâmbia,2011.0
France,"The small Mazoyères-Chambertin Grand Cru creates structured wines with plenty of texture and tannins. This is brooding, firm and very concentrated, with its fruit set way behind the dark tannins and spice note. It will take at least 10 years to start to mature.",,95,475.0,Burgundy,Mazoyeres-Chambertin,,Roger Voss,@vossroger,Domaine Perrot-Minot 2010  Mazoyeres-Chambertin,Pinot Noir,Domaine Perrot-Minot,2010.0
Germany,"Made from an early picking of botrytized grapes from the Bernkasteler Lay vineyard, this is a sweet, plump wine, filled to the brim with lush tropical fruit flavors. The aromas show remarkably pure pear and pineapple scents, with just a touch of dried apricots but also a sense of slate-driven minerality. With 300 cases imported, it should prove relatively easy to find.",Beerenauslese,93,55.0,Mosel-Saar-Ruwer,,,Joe Czerwinski,@JoeCz,Dr. Loosen 2006 Beerenauslese Riesling (Mosel-Saar-Ruwer),Riesling,Dr. Loosen,2006.0
Austria,"Wonderfully concentrated and aromatic blueberry mixes with floral overtones of violet and smoky vanilla oak on nose and palate. The body is smooth but has a rather warm finish. But there is a huge amount of luscious, smooth and dense fruit with a natural, crunchy freshness.",In Signo Sagittarii,91,54.0,Burgenland,,,Anne Krebiehl MW,@AnneInVino,Heribert Bayer 2012 In Signo Sagittarii Blaufränkisch (Burgenland),Blaufränkisch,Heribert Bayer,2012.0
France,"Round and pillowy in feel, this is a simple wine, offering modest melon and pineapple fruit. Drink it over the next few months.",Nobles Rives,85,13.0,Rhône Valley,Collines Rhôdaniennes,,Joe Czerwinski,@JoeCz,Cave de Tain 2015 Nobles Rives Marsanne (Collines Rhôdaniennes),Marsanne,Cave de Tain,2015.0
US,"Ripe and dark aromas of black raspberries, blackberries and gingerbread greet the nose on this wine by veteran vintner Larry Brooks. The palate offers up lots of purple flowers with more black raspberry juice, proving tense with energy. Bright acidity cuts through the luscious elements.",Estate,89,32.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Tolosa 2013 Estate Pinot Noir (Edna Valley),Pinot Noir,Tolosa,2013.0
Italy,"Aromas of coconut, spicy plum cake, mocha and vanilla waft out of the glass. The warm palate doles out stewed plum, blackberry, espresso, licorice and a confectionary note alongside bracing, astringent tannins that dry the mouth. The intense oak sensations throw this off balance.",Terragnolo,85,20.0,Southern Italy,Salento,,Kerin O’Keefe,@kerinokeefe,Apollonio 2011 Terragnolo Primitivo (Salento),Primitivo,Apollonio,2011.0
Australia,"Winemaker Virginia Willcock's latest effort shows that top-flight Margaret River Chardonnay doesn't have to cost three figures. This is fine stuff, a bit funky at first, but opening up in the glass to reveal hints of brown-sugar-glazed pineapple and fresh citrus. It's medium to full in body, with a long, almost painfully crisp finish that brings all that fruit into bright, refreshing focus.",,93,40.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Vasse Felix 2013 Chardonnay (Margaret River),Chardonnay,Vasse Felix,2013.0
Spain,"Aromas of yeast, talcum powder and grass set up a palate of pithy citrus and pyranzinic flavors that are green and grassy. The finish on this Sauvignon Blanc, a grape you don't see too often in hot Jumilla, is green-flavored and snappy.",,84,11.0,Levante,Jumilla,,Michael Schachner,@wineschach,Monterebro 2014 Sauvignon Blanc (Jumilla),Sauvignon Blanc,Monterebro,2014.0
Argentina,One whiff and you can tell this leans towards overripe. Aromas of raisin and baked berry fruits are stewy and cooked. This feels much like it smells: heavy and baked. Flavors of raisin and prune finish similar.,1100,84,20.0,Mendoza Province,Uco Valley,,Michael Schachner,@wineschach,Doña Paula 2014 1100 Red (Uco Valley),Red Blend,Doña Paula,2014.0
Austria,"Pure crushed blackberry exudes great charm on the nose and plays alongside toasty oak notes on the palate. Neither ripeness, nor juiciness, nor muscle allow for even one ounce of fat here. Toned and concentrated fruitiness, with soft tannins and bright acidity, result in an enticing wine.",Hillside,89,29.0,Burgenland,,,Anne Krebiehl MW,@AnneInVino,Hillinger 2011 Hillside Red (Burgenland),Red Blend,Hillinger,2011.0
US,"Entirely sourced from this Sangiacomo family-farmed vineyard, which is planted entirely to the Old Wente clone, this wine offers fleshy and tropical juiciness and texture. Aged in French oak, the vast majority of it neutral, the wine lets the fruit and acidity speak for themselves.",Sangiacomo Green Acres Hill,90,46.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Eric Kent 2013 Sangiacomo Green Acres Hill Chardonnay (Sonoma Coast),Chardonnay,Eric Kent,2013.0
US,"This blend of 55% Viognier, 30% Marsanne and 15% Roussanne has never been better. It's loaded with juicy stone fruits, accented with hints of tea tree oil and lemon verbena. A streak of black tea comes in gracefully as well, and along with its own unique flavor profile, it has the length and supple power of a very fine Chardonnay.",Spiral 36,92,28.0,Oregon,Applegate Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Cowhorn 2015 Spiral 36 White (Applegate Valley),Rhône-style White Blend,Cowhorn,2015.0
Italy,"Attractive aromas of rose, wild berry and aromatic herb lead the nose on this elegantly structured red. The bright palate offers crushed raspberry, juicy dark cherry, licorice and clove alongside firm polished tannins. A flinty mineral note energizes the finish. Hold for more complexity. Drink 2019–2026.",Riserva,93,60.0,Piedmont,Gattinara,,Kerin O’Keefe,@kerinokeefe,Travaglini 2011 Riserva  (Gattinara),Nebbiolo,Travaglini,2011.0
US,"This is a rare single vineyard bottling of this up-and-coming variety in the state. It brings aromas of coffee, soil and vanilla that lead to tightly coiled purple-fruit flavors. It packs a mouthful of fruit, acid and tannins, bringing a whole lot of intrigue and appeal.",Ciel du Cheval Vineyard,91,35.0,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Januik 2013 Ciel du Cheval Vineyard Petit Verdot (Red Mountain),Petit Verdot,Januik,2013.0
US,"Deep olallieberry-pie aromas meet with lilac, vanilla and brown sugar on the very accessible nose of this bottling. It's somewhat thin on the palate, but quite grippy and refreshing, with flavors of dried plums, marjoram and lavender.",Reserve,89,24.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Castoro Cellars 2014 Reserve Syrah (Paso Robles),Syrah,Castoro Cellars,2014.0
US,"Ripe fruit stars in this exuberant wine. It flatters with black cherry, blackberry, anise and cassis flavors that go on and on into a lnto a long, spicy finish. Beyond that it's a little sweet, and seems best now, with a salty, peppery steak or chop.",Chronology Grand Reserve,87,30.0,California,Sonoma County,Sonoma,,,Lyeth 2008 Chronology Grand Reserve Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Lyeth,2008.0
